,index,labels,latitude,longitude,photo_count,top_20,parkunit,rank
0,0,0,43.70181674311922,-102.57150149999946,218,True,badl,12
1,1,1,43.87229277595627,-102.24387643169395,183,True,badl,16
2,2,2,43.88464911282062,-102.23901776923066,195,True,badl,15
3,3,3,43.86936599827754,-102.23379911455685,1161,True,badl,2
4,4,4,43.865950831460644,-102.22713297752802,178,True,badl,17
5,5,5,43.84303251959367,-102.19300593904163,689,True,badl,5
6,6,6,43.82195976816607,-102.17564947404867,289,True,badl,11
7,7,7,43.80378856872039,-102.13666008056873,211,True,badl,13
8,8,8,43.79562126055047,-102.06089189357765,545,True,badl,7
9,9,9,43.78885796633667,-102.0329764594058,505,True,badl,8
10,10,10,43.771499831460645,-102.00455786017471,801,True,badl,4
11,11,11,43.75825342857134,-101.97425799047596,210,True,badl,14
12,12,12,43.74875476098421,-101.94340043409522,569,True,badl,6
13,13,13,43.75102495348844,-101.93035584566614,473,True,badl,9
14,14,14,43.762140277419306,-101.92631664451568,1550,True,badl,1
15,15,15,43.77541600000026,-101.92001499999974,300,True,badl,10
16,16,16,43.78530889068098,-101.90074001523287,1116,True,badl,3
